"group";"teama";"teamb";"awins";"bwins";"draw";"winner"
"A";"France";"Romania";67,34;13,66;19;"France"
"A";"Albania";"Switzerland";18,44;59,07;22,5;"Switzerland"
"B";"Wales";"Slovakia";22,96;52,26;24,78;"Slovakia"
"B";"England";"Russia";65,8;14,5;19,7;"England"
"D";"Turkey";"Croatia";37,29;35,43;27,29;"Turkey"
"C";"Poland";"Northern Ireland";57,24;19,59;23,16;"Poland"
"C";"Germany";"Ukraine";64,23;15,37;20,4;"Germany"
"D";"Spain";"Czechia";70,06;12,23;17,7;"Spain"
"E";"Ireland";"Sweden";35,95;36,75;27,29;"Sweden"
"E";"Belgium";"Italy";42,53;30,59;26,88;"Belgium"
"F";"Austria";"Hungary";48,09;26,04;25,87;"Austria"
"F";"Portugal";"Iceland";70,06;12,23;17,7;"Portugal"
"B";"Russia";"Slovakia";35,56;37,16;27,29;"Slovakia"
"A";"Romania";"Switzerland";34,25;38,51;27,24;"Switzerland"
"A";"France";"Albania";82,61;6,43;10,96;"France"
"B";"England";"Wales";78,08;8,39;13,53;"England"
"C";"Ukraine";"Northern Ireland";66,58;14,07;19,35;"Ukraine"
"C";"Germany";"Poland";72,76;10,88;16,35;"Germany"
"E";"Italy";"Sweden";52,55;22,76;24,7;"Italy"
"D";"Czechia";"Croatia";27,97;45,65;26,38;"Croatia"
"D";"Spain";"Turkey";60,45;17,59;21,96;"Spain"
"E";"Belgium";"Ireland";59,34;18,27;22,39;"Belgium"
"F";"Iceland";"Hungary";32,71;40,16;27,13;"Hungary"
"F";"Portugal";"Austria";55,12;20,99;23,89;"Portugal"
"A";"Romania";"Albania";56,82;19,86;23,31;"Romania"
"A";"Switzerland";"France";14,78;65,28;19,93;"France"
"B";"Russia";"Wales";51,4;23,58;25,03;"Russia"
"B";"Slovakia";"England";14,93;65,02;20,05;"England"
"C";"Ukraine";"Poland";45,94;27,74;26,32;"Ukraine"
"C";"Northern Ireland";"Germany";4,95;86,23;8,82;"Germany"
"D";"Czechia";"Turkey";27,17;46,65;26,18;"Turkey"
"D";"Croatia";"Spain";17,01;61,41;21,58;"Spain"
"F";"Iceland";"Austria";23,06;52,11;24,82;"Austria"
"F";"Hungary";"Portugal";14,07;66,58;19,35;"Portugal"
"E";"Italy";"Ireland";52,98;22,45;24,57;"Italy"
"E";"Sweden";"Belgium";18,53;58,93;22,55;"Belgium"
